iteration,predictive_accuracy,runtime
1,0.9555046769206685,1.7118690013885498
2,0.9928652498923721,4.382223606109619
3,0.9928652498923721,10.413244724273682
4,0.9928652498923721,4.008866786956787
5,0.9928652498923721,4.269518136978149
6,0.994227231810888,8.016982793807983
7,0.994227231810888,7.679537534713745
8,0.9924308246252593,2.022258758544922
9,0.9924308246252593,6.904197692871094
10,0.9924308246252593,8.31734585762024
11,0.9924308246252593,6.975660085678101
12,0.9924308246252593,7.423896312713623
13,0.9924308246252593,3.614227056503296
14,0.9911236350827757,2.799097776412964
15,0.9911236350827757,4.642293453216553
16,0.9911236350827757,5.453521966934204
17,0.9911236350827757,4.909114122390747
18,0.9911236350827757,3.877345561981201
19,0.9929748346444367,2.064678430557251
20,0.9929748346444367,3.068721294403076
